Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2019-09-07 13:45:33.469,0,0,0,104,True,8,car,0 days 01:00:32.376000,0 days 01:00:32.376000
2019-09-07 13:45:33.709,0,0,0,104,True,8,car,0 days 01:00:32.616000,0 days 01:00:32.616000
2019-09-07 13:45:33.949,0,0,0,104,True,8,car,0 days 01:00:32.856000,0 days 01:00:32.856000
2019-09-07 13:45:34.189,0,0,0,104,True,8,car,0 days 01:00:33.096000,0 days 01:00:33.096000
2019-09-07 13:45:34.589,0,0,0,104,True,8,car,0 days 01:00:33.496000,0 days 01:00:33.496000
2019-09-07 13:45:34.829,0,0,0,104,True,8,car,0 days 01:00:33.736000,0 days 01:00:33.736000
2019-09-07 13:45:35.069,0,0,0,104,True,8,car,0 days 01:00:33.976000,0 days 01:00:33.976000
2019-09-07 13:45:35.349,0,0,0,104,True,8,car,0 days 01:00:34.256000,0 days 01:00:34.256000
2019-09-07 13:45:35.589,0,0,0,104,True,8,car,0 days 01:00:34.496000,0 days 01:00:34.496000
2019-09-07 13:45:35.869,0,0,0,104,True,8,car,0 days 01:00:34.776000,0 days 01:00:34.776000
2019-09-07 13:45:36.096,0,0,0,104,True,8,car,0 days 01:00:35.003000,0 days 01:00:35.003000
2019-09-07 13:45:36.336,0,0,0,104,True,8,car,0 days 01:00:35.243000,0 days 01:00:35.243000
2019-09-07 13:45:36.576,0,0,0,104,True,8,car,0 days 01:00:35.483000,0 days 01:00:35.483000
2019-09-07 13:45:36.815,0,0,0,104,True,8,car,0 days 01:00:35.722000,0 days 01:00:35.722000
2019-09-07 13:45:37.016,0,0,0,104,True,8,car,0 days 01:00:35.923000,0 days 01:00:35.923000
2019-09-07 13:45:37.256,0,0,0,104,True,8,car,0 days 01:00:36.163000,0 days 01:00:36.163000
2019-09-07 13:45:37.496,0,0,0,104,True,8,car,0 days 01:00:36.403000,0 days 01:00:36.403000
2019-09-07 13:45:37.736,0,0,0,104,True,8,car,0 days 01:00:36.643000,0 days 01:00:36.643000
2019-09-07 13:45:37.937,0,0,0,104,True,8,car,0 days 01:00:36.844000,0 days 01:00:36.844000
2019-09-07 13:45:38.176,0,0,0,104,True,8,car,0 days 01:00:37.083000,0 days 01:00:37.083000
2019-09-07 13:45:38.416,0,0,0,104,True,8,car,0 days 01:00:37.323000,0 days 01:00:37.323000
2019-09-07 13:45:38.656,0,0,0,104,True,8,car,0 days 01:00:37.563000,0 days 01:00:37.563000
2019-09-07 13:45:38.895,0,0,0,104,True,8,car,0 days 01:00:37.802000,0 days 01:00:37.802000
2019-09-07 13:45:39.135,0,0,0,104,True,8,car,0 days 01:00:38.042000,0 days 01:00:38.042000
2019-09-07 13:45:39.336,0,0,0,104,True,8,car,0 days 01:00:38.243000,0 days 01:00:38.243000
2019-09-07 13:45:39.576,0,0,0,104,True,8,car,0 days 01:00:38.483000,0 days 01:00:38.483000
2019-09-07 13:45:39.815,0,0,0,104,True,8,car,0 days 01:00:38.722000,0 days 01:00:38.722000
2019-09-07 13:45:40.055,0,0,0,104,True,8,car,0 days 01:00:38.962000,0 days 01:00:38.962000
2019-09-07 13:45:40.295,0,0,0,104,True,8,car,0 days 01:00:39.202000,0 days 01:00:39.202000
2019-09-07 13:45:40.575,0,0,0,104,True,8,car,0 days 01:00:39.482000,0 days 01:00:39.482000
2019-09-07 13:45:40.776,0,0,0,104,True,8,car,0 days 01:00:39.683000,0 days 01:00:39.683000
2019-09-07 13:45:41.016,0,0,0,104,True,8,car,0 days 01:00:39.923000,0 days 01:00:39.923000
2019-09-07 13:45:41.256,0,0,0,104,True,8,car,0 days 01:00:40.163000,0 days 01:00:40.163000
2019-09-07 13:45:41.496,0,0,0,104,True,8,car,0 days 01:00:40.403000,0 days 01:00:40.403000
2019-09-07 13:45:41.736,0,0,0,104,True,8,car,0 days 01:00:40.643000,0 days 01:00:40.643000
2019-09-07 13:45:41.975,0,0,0,104,True,8,car,0 days 01:00:40.882000,0 days 01:00:40.882000
2019-09-07 13:45:42.176,0,0,0,104,True,8,car,0 days 01:00:41.083000,0 days 01:00:41.083000
2019-09-07 13:45:42.416,0,0,0,104,True,8,car,0 days 01:00:41.323000,0 days 01:00:41.323000
2019-09-07 13:45:42.656,0,0,0,104,True,8,car,0 days 01:00:41.563000,0 days 01:00:41.563000
2019-09-07 13:45:42.896,0,0,0,104,True,8,car,0 days 01:00:41.803000,0 days 01:00:41.803000
2019-09-07 13:45:43.136,0,0,0,104,True,8,car,0 days 01:00:42.043000,0 days 01:00:42.043000
2019-09-07 13:45:43.376,0,0,0,104,True,8,car,0 days 01:00:42.283000,0 days 01:00:42.283000
2019-09-07 13:45:43.616,0,0,0,104,True,8,car,0 days 01:00:42.523000,0 days 01:00:42.523000
2019-09-07 13:45:43.856,0,0,0,104,True,8,car,0 days 01:00:42.763000,0 days 01:00:42.763000
2019-09-07 13:45:44.096,0,0,0,104,True,8,car,0 days 01:00:43.003000,0 days 01:00:43.003000
2019-09-07 13:45:44.336,0,0,0,104,True,8,car,0 days 01:00:43.243000,0 days 01:00:43.243000
2019-09-07 13:45:44.576,0,0,0,104,True,8,car,0 days 01:00:43.483000,0 days 01:00:43.483000
2019-09-07 13:45:44.777,0,0,0,104,True,8,car,0 days 01:00:43.684000,0 days 01:00:43.684000
2019-09-07 13:45:45.017,0,0,0,104,True,8,car,0 days 01:00:43.924000,0 days 01:00:43.924000
2019-09-07 13:45:45.256,0,0,0,104,True,8,car,0 days 01:00:44.163000,0 days 01:00:44.163000
2019-09-07 13:45:45.496,0,0,0,104,True,8,car,0 days 01:00:44.403000,0 days 01:00:44.403000
2019-09-07 13:45:45.736,0,0,0,104,True,8,car,0 days 01:00:44.643000,0 days 01:00:44.643000
2019-09-07 13:45:46.015,0,0,0,104,True,8,car,0 days 01:00:44.922000,0 days 01:00:44.922000
2019-09-07 13:45:46.255,0,0,0,104,True,8,car,0 days 01:00:45.162000,0 days 01:00:45.162000
2019-09-07 13:45:46.575,0,0,0,104,True,8,car,0 days 01:00:45.482000,0 days 01:00:45.482000
